"Plant","Type","Treatment","conc","uptake"
"Qc1","Quebec","chilled",95,14.2
"Qc1","Quebec","chilled",175,24.1
"Qc1","Quebec","chilled",250,30.3
"Qc1","Quebec","chilled",350,34.6
"Qc1","Quebec","chilled",500,32.5
"Qc1","Quebec","chilled",675,35.4
"Qc1","Quebec","chilled",1000,38.7
"Qc2","Quebec","chilled",95,9.3
"Qc2","Quebec","chilled",175,27.3
"Qc2","Quebec","chilled",250,35
"Qc2","Quebec","chilled",350,38.8
"Qc2","Quebec","chilled",500,38.6
"Qc2","Quebec","chilled",675,37.5
"Qc2","Quebec","chilled",1000,42.4
"Qc3","Quebec","chilled",95,15.1
"Qc3","Quebec","chilled",175,21
"Qc3","Quebec","chilled",250,38.1
"Qc3","Quebec","chilled",350,34
"Qc3","Quebec","chilled",500,38.9
"Qc3","Quebec","chilled",675,39.6
"Qc3","Quebec","chilled",1000,41.4
"Mc1","Mississippi","chilled",95,10.5
"Mc1","Mississippi","chilled",175,14.9
"Mc1","Mississippi","chilled",250,18.1
"Mc1","Mississippi","chilled",350,18.9
"Mc1","Mississippi","chilled",500,19.5
"Mc1","Mississippi","chilled",675,22.2
"Mc1","Mississippi","chilled",1000,21.9
"Mc2","Mississippi","chilled",95,7.7
"Mc2","Mississippi","chilled",175,11.4
"Mc2","Mississippi","chilled",250,12.3
"Mc2","Mississippi","chilled",350,13
"Mc2","Mississippi","chilled",500,12.5
"Mc2","Mississippi","chilled",675,13.7
"Mc2","Mississippi","chilled",1000,14.4
"Mc3","Mississippi","chilled",95,10.6
"Mc3","Mississippi","chilled",175,18
"Mc3","Mississippi","chilled",250,17.9
"Mc3","Mississippi","chilled",350,17.9
"Mc3","Mississippi","chilled",500,17.9
"Mc3","Mississippi","chilled",675,18.9
"Mc3","Mississippi","chilled",1000,19.9
